10850741661,22567092,888242,618000,482974,135776,64336,42636,49414,46365,14,764464,947351731
14532166408,30265208,1123474,747997,588021,160909,64508,46737,55140,52253,17,993958,1240236835
14517654843,29172463,1083506,727665,571858,156725,64485,47044,54111,50692,19,905308,1124573948
14965460119,30153404,1111163,746062,580634,166417,64505,47597,54713,51730,13,926906,1144282025
13898773365,29002705,1098372,738143,577900,161175,64504,47089,54158,51326,14,901196,1114767173
13451382811,28876470,1086339,735883,576456,160332,64467,47252,53984,51488,14,965732,1214802866
15505010911,31164839,1104680,744716,585228,160423,64456,45972,54890,52919,14,989212,1235879678
13482876087,27511361,1018849,699168,551090,148949,64401,43713,53306,50648,16,904097,1136797686
14795680039,30526251,1095400,739411,579257,161131,64477,45498,54974,52471,15,1007387,1258958255
13777247117,27688794,996796,685042,536346,149585,64370,44005,52663,50748,14,914983,1132795601
15501467589,30582602,1070447,725062,570505,155492,64431,44952,54588,52962,14,1003575,1257626887
15858543309,31189047,1079324,730957,570086,161838,64459,45327,54754,53280,15,1077520,1351015992
14256957985,28555465,1034874,705456,551868,154563,64459,44804,53699,51464,16,970496,1213957506
14729573530,29959514,1061207,717317,569216,149065,64475,45209,54252,52387,16,1004186,1262410134
14749355597,29110245,1044209,707936,562520,146366,64458,45009,53722,51902,16,1047217,1313002633
15765434135,30163381,1038050,702228,565322,137894,64449,44569,53543,50933,16,997150,1261262157
15564278693,29831295,1044164,706079,565403,141616,64440,44930,53918,51647,15,991302,1241253834
15953835333,31299934,1074202,721387,577028,145322,64477,45609,54623,52123,15,1038667,1309525591
15246577971,29022480,1020743,694731,555505,140168,64418,44194,53287,50737,14,956533,1206514296
15668345157,30887645,1066594,720486,578037,143419,64487,45080,54258,51377,15,1018676,1274389126
14729668539,29026796,1034708,704440,565161,140273,64467,44782,53175,50338,15,974769,1222677391
14675775992,28855719,1034319,705047,563485,142508,64455,44592,53176,51179,15,1009632,1256701705
15113891933,29861888,1056945,716621,572725,144826,64446,45200,54114,51414,15,1094829,1376205019
16190899757,30428839,1063214,719001,575862,144059,64453,45130,53955,50946,14,1011917,1271271908
